description,cybercrime_type,law_section,law_description
My identity was used to open a documents account fraudulently,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
Got a fake message to update my payment details urgently,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Threatening and insulting messages sent to me online,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
I'm being followed online with constant credit card notifications,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
Someone hacked my documents and deleted files,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
Impersonated me to apply for bank account loan,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
My Bitcoin account was hacked and data stolen,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
Received abusive messages on my Aadhaar account,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Someone keeps sending me unwanted messages on documents,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
Someone keeps sending me unwanted messages on bank account,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
Threatening and insulting messages sent to me online,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Fake videos made showing me in compromising photos,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
People are spreading rumors and hateful comments on my investment,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Scam involving fake videos investment scheme,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
Someone hacked my credit card and deleted files,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
Fake website took my social media but never delivered goods,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
Suspicious link asking for bank account and investment,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Received abusive messages on my social media account,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Got a fake message to update my social media details urgently,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
I'm being followed online with constant photos notifications,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
Threatening and insulting messages sent to me online,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Impersonated me to apply for investment loan,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
I'm being followed online with constant payment notifications,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
Someone hacked my job and deleted files,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
Fake website took my payment but never delivered goods,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
Got a fake message to update my job details urgently,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Fake videos made showing me in compromising documents,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
Got a fake message to update my password details urgently,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Someone hacked my loan and deleted files,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
My identity was used to open a loan account fraudulently,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
I'm being followed online with constant password notifications,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
Unauthorized access detected on my photos,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
